from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
10860,12022,0,240,,
10860,12230,0,240,,
10860,12231,0,240,,
10860,12332,0,240,,
10860,8020,2,120,,
10860,8033,2,120,,
10865,10866,0,240,,
10865,10867,0,240,,
10865,12693,0,240,,
10865,4242,0,240,,
10865,4471,0,240,,
10865,4568,0,240,,
10865,8037,0,240,,
10865,989,0,240,,
10866,10865,0,240,,
10866,10866,2,120,,
10866,10867,0,240,,
10866,12693,0,240,,
10866,4242,2,120,,
10866,4459,0,240,,
10866,4471,0,240,,
10866,4568,2,120,,
10866,8037,0,240,,
10866,989,2,120,,
10867,8037,2,120,,
10874,7117,2,300,,
10879,10879,0,240,,
10879,10882,0,240,,
10879,4018,2,300,,
10879,4228,2,300,,
10880,10880,0,240,,
10880,10881,0,240,,
10880,11764,2,360,,
10880,11882,0,240,,
10880,5045,0,240,,
10880,5122,0,240,,
10880,5262,0,240,,
10880,5494,0,240,,
10880,5667,0,240,,
10880,5668,0,240,,
10880,5768,0,240,,
10880,5769,0,240,,
10880,5793,0,240,,
10880,5891,0,240,,
10880,6467,0,240,,
10880,8057,0,240,,
10880,8060,0,240,,
10881,10880,0,240,,
10881,11882,0,240,,
10881,5045,0,240,,
10881,5122,0,240,,
10881,5262,0,240,,
10881,5494,0,240,,
10881,5667,0,240,,
10881,5768,2,300,,
10881,5769,2,300,,
10881,5793,0,240,,
10881,5891,2,300,,
10882,10879,0,240,,
10882,10882,0,240,,
10882,4018,2,300,,
10884,10884,0,240,,
10884,5844,0,240,,
10884,8056,2,300,,
10884,8061,2,300,,
10885,10885,0,240,,
10885,10886,0,240,,
10885,10887,0,240,,
10885,10888,0,240,,
10885,10889,0,240,,
10885,10890,0,240,,
10885,10891,0,240,,
10885,10892,0,240,,
10885,12655,0,240,,
10885,12793,0,240,,
10886,10885,0,240,,
10886,10887,0,240,,
10886,10888,0,240,,
10886,10889,0,240,,
10886,10890,0,240,,
10886,10892,0,240,,
10886,12655,0,240,,
10886,12793,0,240,,
10888,10885,0,240,,
10888,10886,0,240,,
10888,10887,0,240,,
10888,10888,0,240,,
10888,10889,0,240,,
10888,10890,0,240,,
10888,10891,0,240,,
10888,10892,0,240,,
10888,12655,0,240,,
10888,12793,0,240,,
10890,10885,0,240,,
10890,10888,0,240,,
10890,10889,0,240,,
10890,12655,0,240,,
10890,12793,0,240,,
10891,10885,0,240,,
10891,10886,0,240,,
10891,10887,0,240,,
10891,10888,0,240,,
10891,10889,0,240,,
10891,10890,0,240,,
10891,10891,0,240,,
10891,10892,0,240,,
10891,12655,0,240,,
10891,12793,0,240,,
10892,10885,0,240,,
10892,10886,0,240,,
10892,10887,0,240,,
10892,10888,0,240,,
10892,10889,0,240,,
10892,10890,0,240,,
10892,10892,0,240,,
10892,12655,0,240,,
10893,10316,2,300,,
10893,12673,2,300,,
10893,7828,0,240,,
10895,779,2,480,,
1091,8753,2,300,,
1091,8762,2,300,,
10914,10914,0,240,,
10914,5148,0,240,,
10914,5252,0,240,,
10914,5890,0,240,,
10914,7639,0,240,,
10916,11664,2,480,,
10916,5180,0,240,,
10916,5183,2,360,,
10916,6060,2,360,,
10916,9720,2,480,,
1092,902,0,240,,
1092,915,0,240,,
10921,1685,2,300,,
10921,1736,2,300,,
10929,2203,0,240,,
10929,2252,0,240,,
10929,2397,0,240,,
10929,3535,0,240,,
10929,5989,0,240,,
10929,6984,0,240,,
10929,8052,0,240,,
10929,8065,0,240,,
10947,10947,0,240,,
10947,4461,0,240,,
10948,10914,0,240,,
10948,5148,0,240,,
10948,5252,0,240,,
10948,5890,0,240,,
10948,7639,0,240,,
10948,8055,0,240,,
10948,8062,0,240,,
10959,10961,2,300,,
10959,11759,2,420,,
10959,1896,2,420,,
10960,10958,2,420,,
10960,10961,2,360,,
10961,10958,2,300,,
10961,11759,2,360,,
10961,1896,2,420,,
10966,13003,2,360,,
10966,549,0,240,,
10967,13003,2,360,,
10967,549,2,360,,
10968,313,2,360,,
10968,365,0,240,,
10968,366,0,240,,
10969,313,2,360,,
10969,365,0,240,,
10971,10972,0,240,,
10971,8747,0,240,,
10971,8756,0,240,,
10971,9952,0,240,,
10972,10034,2,300,,
10972,10971,0,240,,
10972,10972,0,240,,
10972,8747,0,240,,
10972,8756,0,240,,
10972,9952,0,240,,
10976,230,2,300,,
11,11427,2,300,,
11,11542,0,240,,
110,11113,0,240,,
110,322,0,240,,
110,569,0,240,,
11007,1312,0,240,,
11007,1350,0,240,,
11009,663,0,240,,
11009,706,0,240,,
11010,793,0,240,,
11010,842,0,240,,
11011,1312,0,240,,
11011,1350,0,240,,
11013,1042,0,240,,
11013,1105,0,240,,
11014,337,0,240,,
11014,463,2,300,,
11015,663,0,240,,
11015,706,0,240,,
11016,113,0,240,,
11016,56,0,240,,
11020,165,0,240,,
11020,251,0,240,,
11021,337,2,300,,
11021,463,2,300,,
11022,793,0,240,,
11022,842,0,240,,
11023,1042,0,240,,
11023,1105,0,240,,
11029,11029,0,240,,
11032,11032,0,240,,
11032,11998,0,240,,
1105,11013,2,300,,
1105,11023,0,240,,
11074,5456,0,240,,
11074,5516,0,240,,
11075,6051,0,240,,
11075,9023,0,240,,
11076,6051,0,240,,
11076,9022,0,240,,
11077,5474,2,360,,
11077,5498,2,360,,
11078,5474,2,360,,
11078,5498,2,360,,
1108,1514,0,240,,
1108,1596,0,240,,
11088,11227,2,360,,
11088,11278,2,300,,
11088,11279,2,300,,
11088,12548,2,300,,
11095,8752,2,300,,
11095,8761,2,300,,
11095,906,0,240,,
11095,911,0,240,,
11113,110,0,240,,
11113,569,2,300,,
11113,59,2,300,,
11113,60,0,240,,
11114,7645,2,540,,
11122,5561,0,240,,
11122,5623,0,240,,
11123,6019,2,300,,
11123,6073,0,240,,
11124,6019,2,300,,
11124,6073,0,240,,
11126,12196,2,300,,
11126,9291,0,240,,
11126,9293,2,360,,
11127,5025,2,300,,
11127,5067,0,240,,
11128,5138,0,240,,
11128,8542,0,240,,
11129,5138,0,240,,
11129,8542,0,240,,
11130,5025,2,300,,
11130,5067,0,240,,
11131,5651,0,240,,
11131,5683,0,240,,
11132,5651,0,240,,
11132,5683,0,240,,
11133,5715,0,240,,
11133,5729,0,240,,
11134,5715,0,240,,
11134,5729,0,240,,
11135,5781,0,240,,
11137,5918,0,240,,
11137,5961,0,240,,
1116,12631,2,300,,
1116,12632,2,300,,
11196,11199,0,240,,
11199,11196,0,240,,
1120,1971,0,240,,
1120,2062,2,300,,
11200,1769,2,300,,
11204,2264,0,240,,
11208,6486,0,240,,
11208,6566,0,240,,
11208,6802,0,240,,
11216,11695,0,240,,
11216,9087,0,240,,
11221,10360,2,360,,
11221,11088,2,300,,
11221,11221,0,240,,
11221,11227,0,240,,
11221,11260,2,420,,
11221,12764,2,360,,
11221,932,2,420,,
11227,10360,2,360,,
11227,11260,2,420,,
11243,11243,0,240,,
11243,11247,2,300,,
11243,11295,2,300,,
11243,11707,2,300,,
11243,12716,2,300,,
11243,6753,0,240,,
11247,11243,2,300,,
11247,11247,0,240,,
11247,11295,2,360,,
11247,11707,2,300,,
11247,12716,2,360,,
11247,6753,0,240,,
11248,11246,0,240,,
11248,11253,0,240,,
11248,11266,0,240,,
11248,11267,0,240,,
11248,11269,0,240,,
11248,11289,0,240,,
11248,11788,0,240,,
11251,11251,0,240,,
11251,11286,0,240,,
11251,11287,0,240,,
11252,11251,0,240,,
11252,11252,0,240,,
11252,11286,0,240,,
11252,11287,0,240,,
11254,11398,2,300,,
11254,6754,0,240,,
11255,11255,4,0,14719451,14719427
11255,11255,4,0,14719452,14719428
11255,11255,4,0,14719453,14719429
11255,11255,4,0,14719454,14719430
11255,11255,4,0,14719455,14719431
11255,11255,4,0,14719456,14719432
11255,11255,4,0,14719457,14719433
11255,11255,4,0,14719458,14719434
11255,11255,4,0,14719459,14719435
11255,11255,4,0,14719460,14719436
11255,11255,4,0,14719461,14719437
11255,11255,4,0,14719462,14719438
11255,11255,4,0,14719463,14719439
11255,11255,4,0,14719464,14719440
11255,11255,4,0,14719465,14719441
11255,11255,4,0,14719466,14719442
11255,11255,4,0,14719467,14719443
11255,11255,4,0,14719468,14719444
11255,11255,4,0,14719469,14719445
11255,11255,4,0,14719470,14719446
11255,11255,4,0,14719471,14719447
11255,11255,4,0,14719472,14719448
11255,11255,4,0,14719473,14719449
11255,11255,4,0,14719474,14719450
11255,11255,4,0,14719495,14719484
11255,11255,4,0,14719496,14719487
11255,11255,4,0,14719497,14719485
11255,11255,4,0,14719498,14719486
11255,11255,4,0,14719499,14719488
11255,11255,4,0,14719500,14719489
11255,11255,4,0,14719501,14719490
11255,11255,4,0,14719502,14719491
11255,11255,4,0,14719503,14719492
11255,11255,4,0,14719504,14719493
11255,11255,4,0,14719505,14719494
11255,11255,4,0,14719506,14719475
11255,11255,4,0,14719507,14719476
11255,11255,4,0,14719508,14719477
11255,11255,4,0,14719509,14719478
11255,11255,4,0,14719510,14719479
11255,11255,4,0,14719511,14719480
11255,11255,4,0,14719512,14719481
11255,11255,4,0,14719513,14719482
11255,11255,4,0,14719514,14719483
11256,11246,0,240,,
11256,11248,0,240,,
11256,11253,0,240,,
11256,11266,0,240,,
11256,11267,0,240,,
11256,11269,0,240,,
11256,11288,0,240,,
11256,11289,0,240,,
11256,11788,0,240,,
11258,10360,0,240,,
11258,11258,4,0,14685465,14677688
11258,11258,4,0,14685466,14677689
11258,11258,4,0,14685467,14677690
11258,11258,4,0,14685468,14677691
11258,11258,4,0,14685469,14677692
11258,11258,4,0,14685470,14677694
11258,11258,4,0,14685471,14677695
11258,11258,4,0,14685472,14677696
11258,11258,4,0,14685473,14677697
11258,11258,4,0,14685474,14677698
11258,11258,4,0,14685475,14677699
11258,11258,4,0,14685476,14677700
11258,11258,4,0,14685477,14677631
11258,11258,4,0,14685478,14677632
11258,11258,4,0,14685479,14677633
11258,11258,4,0,14685480,14677634
11258,11258,4,0,14685481,14677635
11258,11258,4,0,14685482,14677636
11258,11258,4,0,14685483,14677654
11258,11258,4,0,14685484,14677655
11258,11258,4,0,14685485,14677656
11258,11258,4,0,14685486,14677657
11258,11258,4,0,14685487,14677658
11258,11258,4,0,14685488,14677659
11258,11258,4,0,14685489,14677660
11258,11258,4,0,14685490,14677630
11258,11258,4,0,14685491,14677661
11258,11258,4,0,14685492,14677662
11258,11258,4,0,14685493,14677663
11258,11258,4,0,14685494,14677664
11258,11258,4,0,14685495,14677665
11258,11258,4,0,14685496,14677666
11258,11258,4,0,14685497,14677667
11258,11258,4,0,14685498,14677668
11258,11258,4,0,14685499,14677669
11258,11258,4,0,14685500,14677670
11258,11258,4,0,14685501,14677671
11258,11258,4,0,14685502,14677672
11258,11258,4,0,14685503,14677673
11258,11258,4,0,14685504,14677674
11258,11258,4,0,14685505,14677675
11258,11258,4,0,14685506,14677677
11258,11258,4,0,14685507,14677638
11258,11258,4,0,14685508,14677639
11258,11258,4,0,14685509,14677640
11258,11258,4,0,14685510,14677641
11258,11258,4,0,14685511,14677642
11258,11258,4,0,14685512,14677693
11258,11258,4,0,14685513,14677643
11258,11258,4,0,14685514,14677644
11258,11258,4,0,14685515,14677645
11258,11258,4,0,14685516,14677646
11258,11258,4,0,14685517,14677647
11258,11258,4,0,14685518,14677648
11258,11258,4,0,14685519,14677649
11258,11258,4,0,14685520,14677650
11258,11258,4,0,14685521,14677651
11258,11258,4,0,14685522,14677652
11258,11258,4,0,14685523,14677653
11258,11258,4,0,14685524,14677678
11258,11258,4,0,14685525,14677679
11258,11258,4,0,14685526,14677680
11258,11258,4,0,14685527,14677676
11258,11258,4,0,14685528,14677637
11258,11258,4,0,14685529,14677637
11258,11258,4,0,14685530,14677681
11258,11258,4,0,14685531,14677682
11258,11258,4,0,14685532,14677683
11258,11258,4,0,14685533,14677686
11258,11258,4,0,14685534,14677676
11258,11258,4,0,14685535,14677684
11258,11258,4,0,14685536,14677652
11258,11258,4,0,14685537,14677653
11258,11258,4,0,14685538,14677678
11258,11258,4,0,14685539,14677679
11258,11258,4,0,14685540,14677680
11258,11258,4,0,14685541,14677681
11258,11258,4,0,14685542,14677682
11258,11258,4,0,14685543,14677683
11258,11258,4,0,14685544,14677686
11258,11258,4,0,14685545,14677684
11258,11258,4,0,14685546,14677685
11258,11258,4,0,14685547,14677685
11258,11258,4,0,14685548,14677687
11258,11258,4,0,14740052,14739922
11258,11258,4,0,14740053,14739923
11258,11258,4,0,14740054,14739924
11258,11258,4,0,14740055,14739925
11258,11258,4,0,14740056,14739926
11258,11258,4,0,14740057,14739927
11258,11258,4,0,14740058,14739928
11258,11258,4,0,14740059,14739929
11258,11258,4,0,14740060,14739930
11258,11258,4,0,14740061,14739931
11258,11258,4,0,14740062,14739932
11258,11258,4,0,14740063,14739933
11258,11258,4,0,14740064,14739934
11258,11258,4,0,14740065,14739935
11258,11258,4,0,14740066,14739936
11258,11258,4,0,14740067,14739937
11258,11258,4,0,14740068,14739938
11258,11258,4,0,14740069,14739939
11258,11258,4,0,14740070,14739940
11258,11258,4,0,14740071,14739941
11258,11258,4,0,14740072,14739942
11258,11258,4,0,14740073,14739943
11258,11258,4,0,14740074,14739944
11258,11258,4,0,14740075,14739945
11258,11258,4,0,14740076,14739946
11258,11258,4,0,14740077,14739947
11258,11258,4,0,14740078,14739948
11258,11258,4,0,14740079,14739949
11258,11258,4,0,14740080,14739950
11258,11258,4,0,14740081,14739951
11258,11258,4,0,14740082,14739952
11258,11258,4,0,14740083,14739953
11258,11258,4,0,14740084,14739954
11258,11258,4,0,14740085,14739955
11258,11258,4,0,14740086,14739956
11258,11258,4,0,14740087,14739957
11258,11258,4,0,14740088,14739958
11258,11258,4,0,14740089,14739959
11258,11258,4,0,14740090,14739960
11258,11258,4,0,14740091,14739961
11258,11258,4,0,14740092,14739962
11258,11258,4,0,14740093,14739963
11258,11258,4,0,14740094,14739964
11258,11258,4,0,14740095,14739965
11258,11258,4,0,14740096,14739966
11258,11258,4,0,14740097,14739967
11258,11258,4,0,14740098,14739968
11258,11258,4,0,14740099,14739969
11258,11258,4,0,14740100,14739970
11258,11258,4,0,14740101,14739971
11258,11258,4,0,14740102,14739972
11258,11258,4,0,14740103,14739973
11258,11258,4,0,14740104,14739974
11258,11258,4,0,14740105,14739975
11258,11258,4,0,14740106,14739976
11258,11258,4,0,14740107,14739977
11258,11258,4,0,14740108,14739978
11258,11258,4,0,14740109,14739979
11258,11258,4,0,14740110,14739980
11258,11258,4,0,14740111,14739981
11258,11258,4,0,14740112,14739982
11258,11258,4,0,14740113,14739983
11258,11258,4,0,14740114,14739984
11258,11258,4,0,14740115,14739985
11258,11258,4,0,14740116,14739986
11258,11258,4,0,14740117,14739987
11258,11258,4,0,14740514,14740374
11258,11258,4,0,14740515,14740375
11258,11258,4,0,14740516,14740376
11258,11258,4,0,14740517,14740377
11258,11258,4,0,14740518,14740378
11258,11258,4,0,14740519,14740379
11258,11258,4,0,14740520,14740380
11258,11258,4,0,14740521,14740381
11258,11258,4,0,14740522,14740382
11258,11258,4,0,14740523,14740383
11258,11258,4,0,14740524,14740384
11258,11258,4,0,14740525,14740385
11258,11258,4,0,14740526,14740386
11258,11258,4,0,14740527,14740387
11258,11258,4,0,14740528,14740388
11258,11258,4,0,14740529,14740389
11258,11258,4,0,14740530,14740390
11258,11258,4,0,14740531,14740391
11258,11258,4,0,14740532,14740392
11258,11258,4,0,14740533,14740393
11258,11258,4,0,14740534,14740394
11258,11258,4,0,14740535,14740395
11258,11258,4,0,14740536,14740396
11258,11258,4,0,14740537,14740397
11258,11258,4,0,14740538,14740398
11258,11258,4,0,14740539,14740399
11258,11258,4,0,14740540,14740400
11258,11258,4,0,14740541,14740401
11258,11258,4,0,14740542,14740402
11258,11258,4,0,14740543,14740403
11258,11258,4,0,14740544,14740404
11258,11258,4,0,14740545,14740405
11258,11258,4,0,14740546,14740406
11258,11258,4,0,14740547,14740407
11258,11258,4,0,14740548,14740408
11258,11258,4,0,14740549,14740409
11258,11258,4,0,14740550,14740410
11258,11258,4,0,14740551,14740411
11258,11258,4,0,14740552,14740412
11258,11258,4,0,14740553,14740413
11258,11258,4,0,14740554,14740414
11258,11258,4,0,14740555,14740415
11258,11258,4,0,14740556,14740416
11258,11258,4,0,14740557,14740417
11258,11258,4,0,14740558,14740418
11258,11258,4,0,14740559,14740419
11258,11258,4,0,14740560,14740420
11258,11258,4,0,14740561,14740421
11258,11258,4,0,14740562,14740422
11258,11258,4,0,14740563,14740423
11258,11258,4,0,14740564,14740424
11258,11258,4,0,14740565,14740425
11258,11258,4,0,14740566,14740426
11258,11258,4,0,14740567,14740427
11258,11258,4,0,14740568,14740428
11258,11258,4,0,14740569,14740429
11258,11258,4,0,14740570,14740430
11258,11258,4,0,14740571,14740431
11258,11258,4,0,14740572,14740432
11258,11258,4,0,14740573,14740433
11258,11258,4,0,14740574,14740434
11258,11258,4,0,14740575,14740435
11258,11258,4,0,14740576,14740436
11258,11258,4,0,14740577,14740437
11258,11258,4,0,14740578,14740438
11258,11258,4,0,14740579,14740439
11258,11258,4,0,14740580,14740440
11258,11258,4,0,14740581,14740441
11258,11258,4,0,14740582,14740442
11258,11258,4,0,14740583,14740443
11258,11276,2,360,,
11258,11277,2,300,,
11259,12232,2,360,,
11259,12240,2,360,,
11260,10360,0,240,,
11260,11221,2,420,,
11260,11227,2,420,,
11260,11258,0,240,,
11260,11260,0,240,,
11260,11260,4,0,14677560,14685397
11260,11260,4,0,14677561,14685439
11260,11260,4,0,14677562,14685440
11260,11260,4,0,14677563,14685441
11260,11260,4,0,14677564,14685442
11260,11260,4,0,14677565,14685443
11260,11260,4,0,14677566,14685444
11260,11260,4,0,14677567,14685445
11260,11260,4,0,14677568,14685446
11260,11260,4,0,14677569,14685447
11260,11260,4,0,14677570,14685388
11260,11260,4,0,14677571,14685448
11260,11260,4,0,14677572,14685450
11260,11260,4,0,14677573,14685451
11260,11260,4,0,14677574,14685452
11260,11260,4,0,14677575,14685453
11260,11260,4,0,14677576,14685454
11260,11260,4,0,14677577,14685455
11260,11260,4,0,14677578,14685456
11260,11260,4,0,14677579,14685457
11260,11260,4,0,14677580,14685458
11260,11260,4,0,14677581,14685459
11260,11260,4,0,14677582,14685460
11260,11260,4,0,14677583,14685461
11260,11260,4,0,14677584,14685462
11260,11260,4,0,14677585,14685463
11260,11260,4,0,14677586,14685464
11260,11260,4,0,14677587,14685382
11260,11260,4,0,14677588,14685383
11260,11260,4,0,14677589,14685384
11260,11260,4,0,14677590,14685385
11260,11260,4,0,14677591,14685389
